frame,label
000406.jpg,2
000407.jpg,2
000408.jpg,2
000409.jpg,2
000410.jpg,2
000411.jpg,1
000412.jpg,2
000413.jpg,1
000414.jpg,1
000415.jpg,1
000416.jpg,1
000417.jpg,2
000418.jpg,2
000419.jpg,1
000420.jpg,1
000421.jpg,1
000422.jpg,2
000423.jpg,1
000424.jpg,1
000425.jpg,1
000426.jpg,2
000427.jpg,2
000428.jpg,1
000429.jpg,1
000430.jpg,1
000431.jpg,1
000432.jpg,1
000433.jpg,1
000434.jpg,1
000435.jpg,1
000436.jpg,1
000437.jpg,2
000438.jpg,1
000439.jpg,1
000440.jpg,1
000441.jpg,2
000442.jpg,1
000443.jpg,1
000444.jpg,1
000445.jpg,1
000446.jpg,2
000447.jpg,1
000448.jpg,1
000449.jpg,2
000450.jpg,1
000451.jpg,1
000452.jpg,2
000453.jpg,2
000454.jpg,1
000455.jpg,1
000456.jpg,1
000457.jpg,1
000458.jpg,2
000459.jpg,1
000460.jpg,1
000461.jpg,1
000462.jpg,1
000463.jpg,1
000464.jpg,2
000465.jpg,2
000466.jpg,1
000467.jpg,1
000468.jpg,2
000469.jpg,1
000470.jpg,1
000471.jpg,1
000472.jpg,2
000473.jpg,1
000474.jpg,1
000475.jpg,1
000476.jpg,2
000477.jpg,1
000478.jpg,1
000479.jpg,1
000480.jpg,1
000481.jpg,2
000482.jpg,2
000483.jpg,2
000484.jpg,2
000485.jpg,2
000486.jpg,2
000487.jpg,2
000488.jpg,1
000489.jpg,1
000490.jpg,2
000491.jpg,2
000492.jpg,2
000493.jpg,2
000494.jpg,2
000495.jpg,1
000496.jpg,2
000497.jpg,1
000498.jpg,1
000499.jpg,2
000500.jpg,2
000501.jpg,2
000502.jpg,2
000503.jpg,2
000504.jpg,2
000505.jpg,2
000506.jpg,2
000507.jpg,2
000508.jpg,2
000509.jpg,2
000510.jpg,1
000511.jpg,1
000512.jpg,2
000513.jpg,2
000514.jpg,2
000515.jpg,2
000516.jpg,2
000517.jpg,2
000518.jpg,2
000519.jpg,1
000520.jpg,1
000521.jpg,2
000522.jpg,2
000523.jpg,1
000524.jpg,1
000525.jpg,1
000526.jpg,1
000527.jpg,1
